Onset_time,Cycle_number,Metric_location,Metric_location_index,Phase,Is_included_in_grid
345.74,1,NaN,NaN,NaN,0
346.023,1,NaN,NaN,NaN,0
346.215,1,NaN,NaN,NaN,0
346.487,1,NaN,NaN,NaN,0
346.677,1,NaN,NaN,NaN,0
346.923,1,NaN,NaN,NaN,0
347.116,1,NaN,NaN,NaN,0
347.368,1,NaN,NaN,NaN,0
347.564,2,0,1,0.0227127026284507,1
347.82,2,0.6,3,0.585401593552479,1
348.017,2,1,4,1.01840827914641,1
348.265,2,1.6,6,1.5635131422291,1
348.473,2,2,7,2.02069786610499,1
348.72,2,2.6,9,2.56360472570756,1
348.92,2,3,10,3.00320542174198,1
349.165,2,3.6,12,3.54171627438418,1
349.359,3,0,1,-0.0329451860266922,1
349.608,3,0.6,3,0.53280318091456,1
349.804,3,1,4,0.978131212723627,1
350.051,3,1.6,6,1.53933541607497,1
350.261,3,2,7,2.01647259301341,1
350.512,3,2.6,9,2.58676512354444,1
350.701,3,3,10,3.01618858278902,1
350.944,3,3.6,12,3.56830445896054,1
351.132,4,0,1,-0.00459638035049596,1
351.377,4,0.6,3,0.558460212582581,1
351.561,4,1,4,0.981327204826118,1
351.808,4,1.6,6,1.54898017810969,1
352.001,4,2,7,1.9925308819304,1
352.247,4,2.6,9,2.55788566503879,1
352.44,4,3,10,3.00143636885949,1
352.872,5,0,1,-0.0058599472604695,1
353.115,5,0.6,3,0.563726926457672,1
353.3,5,1,4,0.997363023732815,1
353.735,5,2,7,2.01699384705544,1
353.971,5,2.6,9,2.57017286844424,1
354.155,5,3,10,3.00146498681512,1
354.587,6,0,1,0.0141816033091083,1
354.828,6,0.6,3,0.583809336222205,1
355.009,6,1,4,1.01162103604503,1
355.436,6,2,7,2.02087847153833,1
355.672,6,2.6,9,2.57868820169404,1
355.86,6,3,10,3.02304510537728,1
356.285,7,0,1,0.0278330019881817,1
356.521,7,0.6,3,0.590854870775431,1
356.7,7,1,4,1.01789264413521,1
357.112,7,2,7,2.00079522862832,1
357.36,7,2.6,9,2.59244532803188,1
357.535,7,3,10,3.00994035785298,1
357.948,8,0,1,-0.00475624256839365,1
358.2,8,0.6,3,0.594530321046368,1
358.377,8,1,4,1.01545778834725,1
358.801,8,2,7,2.02378121284183,1
359.036,8,2.6,9,2.58263971462545,1
359.223,8,3,10,3.02734839476816,1
359.636,9,0,1,0.00966767371605841,1
359.873,9,0.6,3,0.582477341389703,1
360.057,9,1,4,1.02719033232633,1
360.477,9,2,7,2.04229607250751,1
360.707,9,2.6,9,2.59818731117826,1
360.883,9,3,10,3.02356495468277,1
361.301,10,0,1,0.0332739156268796,1
361.535,10,0.6,3,0.589423648247273,1
361.716,10,1,4,1.0196078431373,1
362.136,10,2,7,2.01782531194301,1
362.371,10,2.6,9,2.57635175282227,1
362.559,10,3,10,3.02317290552587,1
362.973,11,0,1,0.00728376327765934,1
363.209,11,0.6,3,0.580273141122862,1
363.389,11,1,4,1.01729893778449,1
363.801,11,2,7,2.01760242792102,1
364.029,11,2.6,9,2.57116843702575,1
364.217,11,3,10,3.02761760242785,1
364.624,12,0,1,0.0156831205388967,1
364.849,12,0.6,3,0.558560369960757,1
365.032,12,1,4,1.00010053282392,1
365.455,12,2,7,2.02070976173717,1
365.679,12,2.6,9,2.56117422338388,1
365.871,12,3,10,3.02442947622396,1
366.283,13,0,1,0.0186802030457509,1
366.513,13,0.6,3,0.579086294416201,1
366.685,13,1,4,0.998172588832496,1
367.101,13,2,7,2.01177664974617,1
367.331,13,2.6,9,2.57218274111676,1
367.513,13,3,10,3.01563451776639,1
367.919,14,0,1,0.0047999999998866,1
368.16,14,0.6,3,0.583200000000001,1
368.336,14,1,4,1.00559999999998,1
368.773,14,2,7,2.05440000000003,1
369.001,14,2.6,9,2.60159999999993,1
369.165,14,3,10,2.99520000000005,1
369.588,15,0,1,0.0105092966856026,1
369.825,15,0.6,3,0.585286984640246,1
370.003,15,1,4,1.01697655618429,1
370.419,15,2,7,2.02586903799511,1
370.653,15,2.6,9,2.59337105901379,1
370.828,15,3,10,3.0177849636216,1
371.241,16,0,1,0.0194096239384911,1
371.48,16,0.6,3,0.599272139102343,1
371.655,16,1,4,1.02385766275771,1
372.064,16,2,7,2.0161746866155,1
372.304,16,2.6,9,2.59846340477147,1
372.48,16,3,10,3.02547513141938,1
372.893,17,0,1,0.0277126846662732,1
373.119,17,0.6,3,0.580336220071387,1
373.296,17,1,4,1.01314314824245,1
373.705,17,2,7,2.0132450331125,1
373.937,17,2.6,9,2.58053998981148,1
374.12,17,3,10,3.02801833927656,1
374.528,18,0,1,0.0258806613946292,1
374.757,18,0.6,3,0.590325562288106,1
374.927,18,1,4,1.0093457943925,1
375.336,18,2,7,2.01745917633767,1
375.565,18,2.6,9,2.58190407723114,1
375.744,18,3,10,3.02310773338816,1
375.964,18,3.6,12,3.56536921022901,1
376.147,19,0,1,0.0163198694410301,1
376.375,19,0.6,3,0.574459404324787,1
376.548,19,1,4,0.997960016319906,1
376.949,19,2,7,1.97960016319878,1
377.181,19,2.6,9,2.54753161974707,1
377.36,19,3,10,2.9857201142392,1
377.772,20,0,1,-0.0056835481578331,1
378.003,20,0.6,3,0.556987719476366,1
378.177,20,1,4,0.980818024967158,1
378.587,20,2,7,1.97949862985897,1
378.821,20,2.6,9,2.54947731655346,1
378.995,20,3,10,2.97330762204411,1
379.412,21,0,1,-0.010849909584104,1
379.657,21,0.6,3,0.579867389993949,1
379.835,21,1,4,1.00904159132003,1
380.245,21,2,7,1.9975889089813,1
