onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
0.063,0,NaN,NaN,NaN,NaN,NaN
0.103,0,NaN,NaN,NaN,NaN,NaN
0.335,0,NaN,NaN,NaN,NaN,NaN
0.532,0,NaN,NaN,NaN,NaN,NaN
0.796,0,NaN,NaN,NaN,NaN,NaN
0.962,0,NaN,NaN,NaN,NaN,NaN
1.081,0,NaN,NaN,NaN,NaN,NaN
1.227,0,NaN,NaN,NaN,NaN,NaN
1.391,0,NaN,NaN,NaN,NaN,NaN
1.495,0,NaN,NaN,NaN,NaN,NaN
1.839,0,NaN,NaN,NaN,NaN,NaN
1.898,0,NaN,NaN,1,NaN,NaN
2.551,0,NaN,NaN,1,NaN,NaN
2.627,0,NaN,NaN,1,NaN,NaN
2.741,0,NaN,NaN,1,NaN,NaN
2.86,0,NaN,NaN,1,NaN,NaN
2.98,0,NaN,NaN,1,NaN,NaN
3.151,0,NaN,NaN,1,NaN,NaN
3.261,0,NaN,NaN,1,NaN,NaN
3.596,1,0,1,2,-0.0137221269296746,-0.0137221269296746
3.626,0,0,1,2,0.0548885077186954,0.0548885077186954
4.311,1,1.6,6,2,1.62149799885649,1.62149799885649
4.474,1,2,7,2,1.99428244711264,1.99428244711264
4.576,1,2.3,8,2,2.22755860491709,2.22755860491709
5.019,1,3.3,11,2,3.24070897655803,3.24070897655803
5.174,1,3.6,12,2,3.59519725557462,3.59519725557462
5.339,1,0,1,3,-0.0279015694632813,-0.0279015694632813
6.044,1,1.6,6,3,1.61131563650455,1.61131563650455
6.47,1,2.6,9,3,2.60182135245108,2.60182135245108
6.881,1,3.6,12,3,3.5574501065685,3.5574501065685
7.303,1,0.6,3,4,0.540120458519528,0.540120458519528
7.739,1,1.6,6,4,1.55663493297066,1.55663493297066
8.177,1,2.6,9,4,2.57781231785506,2.57781231785506
8.586,1,3.6,12,4,3.53137750145716,3.53137750145716
9.027,1,0.6,3,5,0.56715242221347,0.56715242221347
9.455,1,1.6,6,5,1.57857424182749,1.57857424182749
9.876,1,2.6,9,5,2.57345411579362,2.57345411579362
10.158,1,3.3,11,5,3.23985821189445,3.23985821189445
10.291,1,3.6,12,5,3.55415517920441,3.55415517920441
10.588,1,0.3,2,6,0.262374489126593,0.262374489126593
10.713,1,0.6,3,6,0.565114284272665,0.565114284272665
10.99,1,1.3,5,6,1.23598567031636,1.23598567031636
11.129,1,1.6,6,6,1.57263232251879,1.57263232251879
11.416,1,2.3,8,6,2.26772289217417,2.26772289217417
11.532,1,2.6,9,6,2.54866542206973,2.54866542206973
11.804,1,3.3,11,6,3.20742721630758,3.20742721630758
11.936,1,3.6,12,6,3.52712043998183,3.52712043998183
12.108,1,0,1,7,-0.0563380281690162,-0.0563380281690162
12.226,1,0.3,2,7,0.229592609419959,0.229592609419959
12.364,1,0.6,3,7,0.563986066939268,0.563986066939268
12.638,1,1.3,5,7,1.22792669998485,1.22792669998485
12.774,1,1.6,6,7,1.55747387551113,1.55747387551113
13.077,1,2.3,8,7,2.2916855974557,2.2916855974557
13.185,1,2.6,9,7,2.55338482507951,2.55338482507951
13.455,1,3.3,11,7,3.20763289413902,3.20763289413902
13.599,1,3.6,12,7,3.55656519763743,3.55656519763743
14.011,1,0.6,3,8,0.559389312977094,0.559389312977094
14.285,1,1.3,5,8,1.22870229007633,1.22870229007633
14.418,1,1.6,6,8,1.55358778625954,1.55358778625954
