onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
2.359,0,NaN,NaN,1,NaN,NaN
3.154,0,NaN,NaN,1,NaN,NaN
3.737,0,NaN,NaN,1,NaN,NaN
4.098,0,NaN,NaN,1,NaN,NaN
4.456,0,NaN,NaN,1,NaN,NaN
4.65,1,0,1,2,0.0265861027190335,0.0265861027190335
5.027,1,0.6,3,2,0.709969788519638,0.709969788519638
5.414,1,1.3,5,2,1.41148036253776,1.41148036253776
5.955,1,2.3,8,2,2.39214501510574,2.39214501510574
6.296,1,3,10,2,3.01027190332326,3.01027190332326
6.633,1,3.6,12,2,3.62114803625378,3.62114803625378
6.845,1,0,1,3,0.00560573030208679,0.00560573030208679
7.223,1,0.6,3,3,0.711927748364996,0.711927748364996
7.588,1,1.3,5,3,1.3939582684522,1.3939582684522
8.124,1,2.3,8,3,2.39551541575833,2.39551541575833
8.446,1,3,10,3,2.99719713484896,2.99719713484896
8.79,1,3.6,12,3,3.63998754282155,3.63998754282155
8.996,1,0,1,4,0.0255959046552558,0.0255959046552558
9.354,1,0.6,3,4,0.712845944648855,0.712845944648855
9.692,1,1.3,5,4,1.36170212765958,1.36170212765958
10.238,1,2.3,8,4,2.40985442329227,2.40985442329227
10.55,1,3,10,4,3.00879859222525,3.00879859222525
10.889,1,3.6,12,4,3.65957446808511,3.65957446808511
11.077,1,0,1,5,0.0207522697795083,0.0207522697795083
11.421,1,0.6,3,5,0.690012970168611,0.690012970168611
11.778,1,1.3,5,5,1.38456549935149,1.38456549935149
12.291,1,2.3,8,5,2.38261997405966,2.38261997405966
12.612,1,3,10,5,3.0071335927367,3.0071335927367
12.947,1,3.6,12,5,3.65888456549935,3.65888456549935
13.133,1,0,1,6,0.0211605224003909,0.0211605224003909
13.463,1,0.6,3,6,0.675814184162667,0.675814184162667
13.82,1,1.3,5,6,1.38403041825095,1.38403041825095
14.328,1,2.3,8,6,2.39180029756984,2.39180029756984
14.632,1,3,10,6,2.99487518598115,2.99487518598115
14.973,1,3.6,12,6,3.67135063646884,3.67135063646884
15.16,1,0,1,7,0.0424614363907804,0.0424614363907804
15.485,1,0.6,3,7,0.689334881406537,0.689334881406537
15.836,1,1.3,5,7,1.38795820202356,1.38795820202356
16.332,1,2.3,8,7,2.37518659810915,2.37518659810915
16.642,1,3,10,7,2.99220434566264,2.99220434566264
16.959,1,3.6,12,7,3.62315475203185,3.62315475203185
17.148,1,0,1,8,-0.00066867268471452,-0.00066867268471452
17.474,1,0.6,3,8,0.653293212972258,0.653293212972258
17.835,1,1.3,5,8,1.37746573052492,1.37746573052492
18.339,1,2.3,8,8,2.38849882982281,2.38849882982281
18.656,1,3,10,8,3.02440655299231,3.02440655299231
18.978,1,3.6,12,8,3.67034436643264,3.67034436643264
19.154,1,0,1,9,0.0241337700396557,0.0241337700396557
19.476,1,0.6,3,9,0.690225823133947,0.690225823133947
19.818,1,1.3,5,9,1.39769005343907,1.39769005343907
20.298,1,2.3,8,9,2.39062230649888,2.39062230649888
20.608,1,3,10,9,3.03189105326668,3.03189105326668
20.912,1,3.6,12,9,3.66074814687123,3.66074814687123
21.086,1,0,1,10,0.0209533787323164,0.0209533787323164
21.394,1,0.6,3,10,0.666317443687791,0.666317443687791
21.732,1,1.3,5,10,1.37454164484023,1.37454164484023
22.21,1,2.3,8,10,2.37611314824516,2.37611314824516
22.514,1,3,10,10,3.0130958617077,3.0130958617077
