onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
0.287,0,NaN,NaN,NaN,NaN,NaN
0.615,0,NaN,NaN,NaN,NaN,NaN
0.986,0,NaN,NaN,NaN,NaN,NaN
1.181,0,NaN,NaN,1,NaN,NaN
1.564,0,NaN,NaN,1,NaN,NaN
1.995,0,NaN,NaN,1,NaN,NaN
2.553,0,NaN,NaN,1,NaN,NaN
2.899,0,NaN,NaN,1,NaN,NaN
3.257,0,NaN,NaN,1,NaN,NaN
3.459,1,0,1,2,-0.00361609160765366,-0.00361609160765366
3.82,1,0.6,3,2,0.649088443573904,0.649088443573904
4.224,1,1.3,5,2,1.37953894832002,1.37953894832002
4.783,1,2.3,8,2,2.39023655265934,2.39023655265934
5.113,1,3,10,2,2.98689166792226,2.98689166792226
5.463,1,3.6,12,2,3.61970769926172,3.61970769926172
5.662,1,0,1,3,-0.0210558910047988,-0.0210558910047988
6.018,1,0.6,3,3,0.640346802910668,0.640346802910668
6.412,1,1.3,5,3,1.3723486607834,1.3723486607834
6.941,1,2.3,8,3,2.35516333797802,2.35516333797802
7.28,1,3,10,3,2.98498219538628,2.98498219538628
7.628,1,3.6,12,3,3.63152190741601,3.63152190741601
7.827,1,0,1,4,0.00124649423496403,0.00124649423496403
8.2,1,0.6,3,4,0.698660018697412,0.698660018697412
8.56,1,1.3,5,4,1.37176690557806,1.37176690557806
9.106,1,2.3,8,4,2.39264568401371,2.39264568401371
9.421,1,3,10,4,2.98161421003428,2.98161421003428
9.764,1,3.6,12,4,3.62293549392334,3.62293549392334
9.97,1,0,1,5,0.00821744627054356,0.00821744627054356
10.352,1,0.6,3,5,0.732616940581543,0.732616940581543
10.716,1,1.3,5,5,1.42288242730721,1.42288242730721
11.22,1,2.3,8,5,2.37863463969659,2.37863463969659
11.535,1,3,10,5,2.97597977243995,2.97597977243995
11.876,1,3.6,12,5,3.62262958280658,3.62262958280658
12.062,1,0,1,6,-0.0243104254324415,-0.0243104254324415
12.426,1,0.6,3,6,0.656381486676021,0.656381486676021
12.812,1,1.3,5,6,1.37821411874708,1.37821411874708
13.356,1,2.3,8,6,2.39551192145863,2.39551192145863
13.693,1,3,10,6,3.02571294997663,3.02571294997663
14.022,1,3.6,12,6,3.64095371669005,3.64095371669005
14.209,1,0,1,7,-0.00938526513373816,-0.00938526513373816
14.553,1,0.6,3,7,0.636320976067578,0.636320976067578
14.936,1,1.3,5,7,1.35523228531206,1.35523228531206
15.485,1,2.3,8,7,2.38573439699672,2.38573439699672
15.812,1,3,10,7,2.99953073674331,2.99953073674331
16.144,1,3.6,12,7,3.62271234162365,3.62271234162365
16.342,1,0,1,8,-0.00567375886524843,-0.00567375886524843
16.694,1,0.6,3,8,0.660047281323876,0.660047281323876
17.076,1,1.3,5,8,1.38250591016548,1.38250591016548
17.615,1,2.3,8,8,2.40189125295508,2.40189125295508
17.948,1,3,10,8,3.03167848699763,3.03167848699763
18.282,1,3.6,12,8,3.66335697399526,3.66335697399526
18.472,1,0,1,9,0.023132530120476,0.023132530120476
18.807,1,0.6,3,9,0.668915662650593,0.668915662650593
19.178,1,1.3,5,9,1.38409638554216,1.38409638554216
19.685,1,2.3,8,9,2.36144578313252,2.36144578313252
20.013,1,3,10,9,2.99373493975904,2.99373493975904
20.349,1,3.6,12,9,3.64144578313253,3.64144578313253
20.536,1,0,1,10,0.00189461219656833,0.00189461219656833
20.896,1,0.6,3,10,0.683955002960333,0.683955002960333
21.28,1,1.3,5,10,1.41148608644168,1.41148608644168
21.805,1,2.3,8,10,2.40615748963884,2.40615748963884
22.109,1,3,10,10,2.98211959739491,2.98211959739491
22.434,1,3.6,12,10,3.59786856127887,3.59786856127887
22.627,1,0,1,11,-0.0366129096168315,-0.0366129096168315
23.02,1,0.6,3,11,0.710861037365773,0.710861037365773
23.38,1,1.3,5,11,1.39556999643381,1.39556999643381
23.893,1,2.3,8,11,2.37128026310576,2.37128026310576
24.213,1,3,10,11,2.97991044894401,2.97991044894401
24.554,1,3.6,12,11,3.62848199072789,3.62848199072789
24.749,1,0,1,12,-0.000645369474031547,-0.000645369474031547
25.103,1,0.6,3,12,0.684737011939334,0.684737011939334
25.473,1,1.3,5,12,1.40109712810584,1.40109712810584
25.975,1,2.3,8,12,2.3730235559858,2.3730235559858
26.302,1,3,10,12,3.00613101000323,3.00613101000323
26.633,1,3.6,12,12,3.64698289770894,3.64698289770894
26.822,1,0,1,13,0.0128886740776563,0.0128886740776563
27.167,1,0.6,3,13,0.679877557596268,0.679877557596268
27.527,1,1.3,5,13,1.3758659577896,1.3758659577896
28.043,1,2.3,8,13,2.37344933140003,2.37344933140003
28.378,1,3,10,13,3.02110520380216,3.02110520380216
28.704,1,3.6,12,13,3.65136136619945,3.65136136619945
28.89,1,0,1,14,0.0110264310037292,0.0110264310037292
29.231,1,0.6,3,14,0.674558131992867,0.674558131992867
29.595,1,1.3,5,14,1.38284417058537,1.38284417058537
30.124,1,2.3,8,14,2.41219393546294,2.41219393546294
30.42,1,3,10,14,2.9881628020107,2.9881628020107
30.739,1,3.6,12,14,3.60888600616183,3.60888600616183
30.931,1,0,1,15,-0.0175495612609692,-0.0175495612609692
31.27,1,0.6,3,15,0.643483912902176,0.643483912902176
31.65,1,1.3,5,15,1.38446538836529,1.38446538836529
32.155,1,2.3,8,15,2.36919077023075,2.36919077023075
32.474,1,3,10,15,2.99122521936951,2.99122521936951
32.795,1,3.6,12,15,3.61715957101073,3.61715957101073
32.991,1,0,1,16,-0.000649139889640093,-0.000649139889640093
33.33,1,0.6,3,16,0.659526127880561,0.659526127880561
33.701,1,1.3,5,16,1.38201882505681,1.38201882505681
34.212,1,2.3,8,16,2.37715027588446,2.37715027588446
34.534,1,3,10,16,3.0042194092827,3.0042194092827
34.859,1,3.6,12,16,3.63713080168777,3.63713080168777
35.039,1,0,1,17,-0.0124340463822594,-0.0124340463822594
35.381,1,0.6,3,17,0.659004458260055,0.659004458260055
35.747,1,1.3,5,17,1.37756145445622,1.37756145445622
36.251,1,2.3,8,17,2.367049777087,2.367049777087
36.555,1,3,10,17,2.96388400343573,2.96388400343573
36.89,1,3.6,12,17,3.62157961470817,3.62157961470817
37.077,1,0,1,18,-0.0112786563687611,-0.0112786563687611
