onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
0.447,0,NaN,NaN,NaN,NaN,NaN
0.53,0,NaN,NaN,NaN,NaN,NaN
0.626,0,NaN,NaN,NaN,NaN,NaN
0.739,0,NaN,NaN,NaN,NaN,NaN
0.887,0,NaN,NaN,NaN,NaN,NaN
1.108,0,NaN,NaN,NaN,NaN,NaN
1.392,0,NaN,NaN,NaN,NaN,NaN
1.596,0,NaN,NaN,NaN,NaN,NaN
1.87,0,NaN,NaN,NaN,NaN,NaN
2.189,0,NaN,NaN,NaN,NaN,NaN
2.362,0,NaN,NaN,1,NaN,NaN
2.668,0,NaN,NaN,1,NaN,NaN
2.82,0,NaN,NaN,1,NaN,NaN
3.11,0,NaN,NaN,1,NaN,NaN
3.267,0,NaN,NaN,1,NaN,NaN
3.582,0,NaN,NaN,1,NaN,NaN
3.724,0,NaN,NaN,1,NaN,NaN
4.05,0,NaN,NaN,1,NaN,NaN
4.207,1,0,1,2,0.00511602411839788,0.00511602411839788
4.679,1,1,4,2,1.04001461721177,1.04001461721177
4.851,1,1.3,5,2,1.41713868079664,1.41713868079664
5.13,1,2,7,2,2.02886899323954,2.02886899323954
5.299,1,2.3,8,2,2.39941531152933,2.39941531152933
5.872,1,3.6,12,2,3.65576466289055,3.65576466289055
6.029,1,0,1,3,0,0
6.363,0,0.6,3,3,0.741398446170923,0.741398446170923
6.5,1,1,4,3,1.04550499445061,1.04550499445061
6.672,1,1.3,5,3,1.42730299667037,1.42730299667037
6.949,1,2,7,3,2.04217536071032,2.04217536071032
7.119,1,2.3,8,3,2.41953385127636,2.41953385127636
7.673,1,3.6,12,3,3.64927857935627,3.64927857935627
7.832,1,0,1,4,0.0022560631697695,0.0022560631697695
8.137,1,0.6,3,4,0.69035532994924,0.69035532994924
8.279,1,1,4,4,1.0107163000564,1.0107163000564
8.464,1,1.3,5,4,1.42808798646362,1.42808798646362
8.725,1,2,7,4,2.01692047377326,2.01692047377326
8.897,1,2.3,8,4,2.40496333897349,2.40496333897349
9.436,1,3.6,12,4,3.62098138747885,3.62098138747885
9.598,1,0,1,5,-0.0136260408781232,-0.0136260408781232
9.897,1,0.6,3,5,0.665404996214987,0.665404996214987
10.044,1,1,4,5,0.999242997728992,0.999242997728992
10.218,1,1.3,5,5,1.39439818319455,1.39439818319455
10.48,1,2,7,5,1.9894019682059,1.9894019682059
10.659,1,2.3,8,5,2.39591218773656,2.39591218773656
11.218,1,3.6,12,5,3.66540499621499,3.66540499621499
11.368,1,0,1,6,0.00618357487922637,0.00618357487922637
11.523,1,0.3,2,6,0.365603864734297,0.365603864734297
11.652,1,0.6,3,6,0.664734299516905,0.664734299516905
11.802,1,1,4,6,1.01256038647343,1.01256038647343
11.958,1,1.3,5,6,1.37429951690821,1.37429951690821
12.088,1,1.6,6,6,1.67574879227053,1.67574879227053
12.226,1,2,7,6,1.99574879227053,1.99574879227053
12.379,1,2.3,8,6,2.35053140096618,2.35053140096618
12.495,1,2.6,9,6,2.61951690821256,2.61951690821256
12.658,1,3,10,6,2.99748792270531,2.99748792270531
12.938,1,3.6,12,6,3.64676328502416,3.64676328502416
13.087,1,0,1,7,-0.00775795190069943,-0.00775795190069943
13.371,1,0.6,3,7,0.653219550038791,0.653219550038791
13.526,1,1,4,7,1.01396431342126,1.01396431342126
13.686,1,1.3,5,7,1.38634600465477,1.38634600465477
13.953,1,2,7,7,2.0077579519007,2.0077579519007
14.112,1,2.3,8,7,2.377812257564,2.377812257564
14.642,1,3.6,12,7,3.61132660977502,3.61132660977502
14.8,1,0,1,8,-0.0209586648554207,-0.0209586648554207
15.099,1,0.6,3,8,0.675334756452554,0.675334756452554
15.253,1,1,4,8,1.03396079953425,1.03396079953425
15.406,1,1.3,5,8,1.39025810207646,1.39025810207646
15.662,1,2,7,8,1.9864156801863,1.9864156801863
15.835,1,2.3,8,8,2.38928779351834,2.38928779351834
16.358,1,3.6,12,8,3.60721909567242,3.60721909567242
16.52,1,0,1,9,-0.0156250000000024,-0.0156250000000024
16.812,1,0.6,3,9,0.668750000000001,0.668750000000001
16.961,1,1,4,9,1.01796874999999,1.01796874999999
17.125,1,1.3,5,9,1.40234375,1.40234375
17.396,1,2,7,9,2.0375,2.0375
17.548,1,2.3,8,9,2.39374999999999,2.39374999999999
18.087,1,3.6,12,9,3.65703125,3.65703125
18.23,1,0,1,10,-0.00796812749004109,-0.00796812749004109
18.385,1,0.3,2,10,0.362549800796814,0.362549800796814
18.512,1,0.6,3,10,0.66613545816733,0.66613545816733
18.659,1,1,4,10,1.01752988047808,1.01752988047808
18.804,1,1.3,5,10,1.36414342629482,1.36414342629482
18.931,1,1.6,6,10,1.66772908366534,1.66772908366534
19.068,1,2,7,10,1.99521912350598,1.99521912350598
19.219,1,2.3,8,10,2.35617529880478,2.35617529880478
19.329,1,2.6,9,10,2.6191235059761,2.6191235059761
19.492,1,3,10,10,3.00876494023905,3.00876494023905
19.764,1,3.6,12,10,3.65896414342629,3.65896414342629
19.913,1,0,1,11,0.0149429807314211,0.0149429807314211
20.193,1,0.6,3,11,0.675580023594184,0.675580023594184
20.331,1,1,4,11,1.00117970900511,1.00117970900511
20.498,1,1.3,5,11,1.39520251671255,1.39520251671255
20.746,1,2,7,11,1.98033818324813,1.98033818324813
20.907,1,2.3,8,11,2.36020448289422,2.36020448289422
21.437,1,3.6,12,11,3.61069602831302,3.61069602831302
21.601,1,0,1,12,-0.00238095238095529,-0.00238095238095529
21.871,1,0.6,3,12,0.640476190476187,0.640476190476187
22.021,1,1,4,12,0.997619047619049,0.997619047619049
