onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
0.633,0,NaN,NaN,NaN,NaN,NaN
0.698,0,NaN,NaN,NaN,NaN,NaN
1.673,0,NaN,NaN,NaN,NaN,NaN
1.906,0,NaN,NaN,NaN,NaN,NaN
2.238,0,NaN,NaN,NaN,NaN,NaN
2.58,0,NaN,NaN,NaN,NaN,NaN
2.818,0,NaN,NaN,NaN,NaN,NaN
3.341,0,NaN,NaN,NaN,NaN,NaN
3.526,0,NaN,NaN,NaN,NaN,NaN
3.852,0,NaN,NaN,NaN,NaN,NaN
4.061,0,NaN,NaN,NaN,NaN,NaN
4.381,0,NaN,NaN,NaN,NaN,NaN
4.704,0,NaN,NaN,NaN,NaN,NaN
4.899,0,NaN,NaN,1,NaN,NaN
5.934,0,NaN,NaN,1,NaN,NaN
6.142,0,NaN,NaN,1,NaN,NaN
6.757,0,NaN,NaN,1,NaN,NaN
6.953,1,0,1,2,-0.0141461771640294,-0.0141461771640294
7.61,1,1.3,5,2,1.31357359380263,1.31357359380263
7.949,1,2,7,2,1.998652745032,1.998652745032
8.146,0,2.3,8,2,2.3967665880768,2.3967665880768
8.428,1,3,10,2,2.96665543954194,2.96665543954194
8.744,1,3.6,12,2,3.60525429437521,3.60525429437521
8.934,1,0,1,3,-0.0108364375211637,-0.0108364375211637
9.923,1,2,7,3,1.99864544530985,1.99864544530985
10.118,0,2.3,8,3,2.39485269217745,2.39485269217745
10.415,1,3,10,3,2.99830680663732,2.99830680663732
10.715,1,3.6,12,3,3.60785641720284,3.60785641720284
10.905,1,0,1,4,-0.00615489827321298,-0.00615489827321298
11.576,1,1.3,5,4,1.37049068216789,1.37049068216789
11.886,1,2,7,4,2.00649683706616,2.00649683706616
12.072,1,2.3,8,4,2.38810053000513,2.38810053000513
12.358,1,3,10,4,2.97486749871773,2.97486749871773
12.658,1,3.6,12,4,3.59035732603864,3.59035732603864
12.848,1,0,1,5,-0.0201704051469297,-0.0201704051469297
13.829,0,2,7,5,2.02677795166058,2.02677795166058
14.006,1,2.3,8,5,2.39610502521301,2.39610502521301
14.293,1,3,10,5,2.99495739871327,2.99495739871327
14.572,1,3.6,12,5,3.57711702312641,3.57711702312641
14.766,1,0,1,6,-0.0186179735051914,-0.0186179735051914
15.399,1,1.3,5,6,1.34121016827784,1.34121016827784
15.453,0,1.3,5,6,1.45721446473326,1.45721446473326
15.687,1,2,7,6,1.95989974937343,1.95989974937343
15.884,1,2.3,8,6,2.38310060866452,2.38310060866452
16.436,1,3.6,12,6,3.56892230576441,3.56892230576441
16.618,1,0,1,7,-0.0402443406396008,-0.0402443406396008
16.686,0,0,1,7,0.106360043118936,0.106360043118936
18.018,1,3,10,7,2.97808120733022,2.97808120733022
18.097,0,3,10,7,3.14840100610852,3.14840100610852
18.195,1,3.3,11,7,3.3596837944664,3.3596837944664
18.336,1,3.6,12,7,3.66367229608336,3.66367229608336
18.487,1,0,1,8,-0.0107353730542191,-0.0107353730542191
20.189,1,3.6,12,8,3.64358561460011,3.64358561460011
20.333,1,0,1,9,-0.0490888806247721,-0.0490888806247721
20.421,0,0,1,9,0.1472666418743,0.1472666418743
20.637,1,0.6,3,9,0.629230197099294,0.629230197099294
20.743,0,1,4,9,0.865749349200443,0.865749349200443
20.83,0,1,4,9,1.05987355894384,1.05987355894384
20.935,1,1.3,5,9,1.29416139828932,1.29416139828932
21.077,1,1.6,6,9,1.61100780959465,1.61100780959465
21.213,1,2,7,9,1.91446634436594,1.91446634436594
21.39,1,2.3,8,9,2.30940870211975,2.30940870211975
21.986,1,3.6,12,9,3.63927110449982,3.63927110449982
22.14,1,0,1,10,-0.0167272727272699,-0.0167272727272699
22.213,0,0,1,10,0.142545454545458,0.142545454545458
23.526,1,3,10,10,3.00727272727273,3.00727272727273
23.704,1,3.3,11,10,3.39563636363637,3.39563636363637
23.989,1,0,1,11,0.0176146788990884,0.0176146788990884
25.647,1,3.6,12,11,3.66825688073394,3.66825688073394
25.788,1,0,1,12,-0.0216256524981383,-0.0216256524981383
25.863,0,0,1,12,0.146159582401189,0.146159582401189
26.092,1,0.6,3,12,0.658463832960471,0.658463832960471
26.204,1,1,4,12,0.909023117076806,0.909023117076806
26.289,0,1,4,12,1.09917971662938,1.09917971662938
26.4,1,1.3,5,12,1.34750186428038,1.34750186428038
26.541,1,1.6,6,12,1.66293810589112,1.66293810589112
26.681,1,2,7,12,1.97613721103654,1.97613721103654
26.854,1,2.3,8,12,2.36316181953765,2.36316181953765
