onsets_time,is_valid_subdivision_assignment,subdivision,subdivision_index,cycle,relative_location_within_the_cycle_interpolated,relative_location_within_the_cycle_democratic
0.242,0,NaN,NaN,NaN,NaN,NaN
0.308,0,NaN,NaN,NaN,NaN,NaN
0.447,0,NaN,NaN,NaN,NaN,NaN
0.594,0,NaN,NaN,NaN,NaN,NaN
0.761,0,NaN,NaN,NaN,NaN,NaN
0.989,0,NaN,NaN,NaN,NaN,NaN
1.3,0,NaN,NaN,NaN,NaN,NaN
1.511,0,NaN,NaN,NaN,NaN,NaN
1.833,0,NaN,NaN,NaN,NaN,NaN
2.361,0,NaN,NaN,1,NaN,NaN
2.54,0,NaN,NaN,1,NaN,NaN
2.684,0,NaN,NaN,1,NaN,NaN
2.861,0,NaN,NaN,1,NaN,NaN
3.054,0,NaN,NaN,1,NaN,NaN
3.355,0,NaN,NaN,1,NaN,NaN
3.544,0,NaN,NaN,1,NaN,NaN
3.832,0,NaN,NaN,1,NaN,NaN
4.033,0,NaN,NaN,1,NaN,NaN
4.318,1,0,1,2,-0.0584092080398557,-0.0584092080398557
4.513,1,0.3,2,2,0.343583576705034,0.343583576705034
4.66,1,0.6,3,2,0.646624291358874,0.646624291358874
4.836,1,1,4,2,1.00944854835939,1.00944854835939
5.034,1,1.3,5,2,1.41762583748497,1.41762583748497
5.341,1,2,7,2,2.05050678577564,2.05050678577564
5.523,1,2.3,8,2,2.42570005153754,2.42570005153754
5.805,1,3,10,2,3.00704346332245,3.00704346332245
5.993,1,3.3,11,2,3.39460573784573,3.39460573784573
6.278,1,0,1,3,-0.0183421516754849,-0.0183421516754849
6.458,1,0.3,2,3,0.362610229276897,0.362610229276897
6.586,1,0.6,3,3,0.633509700176368,0.633509700176368
6.746,1,1,4,3,0.972134038800707,0.972134038800707
6.946,1,1.3,5,3,1.39541446208113,1.39541446208113
7.241,1,2,7,3,2.01975308641975,2.01975308641975
7.414,1,2.3,8,3,2.38589065255732,2.38589065255732
7.708,1,3,10,3,3.00811287477954,3.00811287477954
7.886,1,3.3,11,3,3.38483245149912,3.38483245149912
8.179,1,0,1,4,0.0050733828592121,0.0050733828592121
8.343,1,0.3,2,4,0.361659720963941,0.361659720963941
8.466,1,0.6,3,4,0.629099474542486,0.629099474542486
8.62,1,1,4,4,0.963942743250585,0.963942743250585
8.795,1,1.3,5,4,1.34444645769161,1.34444645769161
8.934,1,1.6,6,4,1.64667512230476,1.64667512230476
9.079,1,2,7,4,1.9619496285559,1.9619496285559
9.266,1,2.3,8,4,2.36854502627287,2.36854502627287
9.531,1,3,10,4,2.94473636528357,2.94473636528357
9.721,1,3.3,11,4,3.35785468381953,3.35785468381953
9.999,1,0,1,5,-0.037907782030253,-0.037907782030253
10.173,1,0.3,2,5,0.342628029888827,0.342628029888827
10.309,1,0.6,3,5,0.640058319664659,0.640058319664659
10.469,1,1,4,5,0.989976307636229,0.989976307636229
10.654,1,1.3,5,5,1.39456898122836,1.39456898122836
10.929,1,2,7,5,1.99599052305449,1.99599052305449
11.111,1,2.3,8,5,2.39402223437215,2.39402223437215
11.374,1,3,10,5,2.96919992710042,2.96919992710042
11.571,1,3.3,11,5,3.40003644979041,3.40003644979041
11.835,1,0,1,6,-0.0226732492228931,-0.0226732492228931
12.012,1,0.3,2,6,0.365697568111171,0.365697568111171
12.135,1,0.6,3,6,0.635582373377214,0.635582373377214
12.295,1,1,4,6,0.98665203876394,0.98665203876394
