Onset_time,Cycle_number,Metric_location,Metric_location_index,Phase,Is_included_in_grid
1128.2,20,2,7,2.00970873786412,1
1128.436,20,2.6,9,2.58252427184444,1
1128.613,20,3,10,3.01213592233022,1
1129.025,21,0,1,0.0121261115604914,1
1129.259,21,0.6,3,0.579628132578915,1
1129.428,21,1,4,0.989490703314811,1
1129.853,21,2,7,2.02021018593397,1
1130.081,21,2.6,9,2.57316087307991,1
1130.263,21,3,10,3.0145513338722,1
1130.681,22,0,1,0.0284871299219129,1
1130.909,22,0.6,3,0.585207040391109,1
1131.085,22,1,4,1.01495574320914,1
1131.495,22,2,7,2.01607488045574,1
1131.724,22,2.6,9,2.57523654491816,1
1131.901,22,3,10,3.00742700172998,1
1132.323,23,0,1,0.0383900928797514,1
1132.552,23,0.6,3,0.605572755417909,1
1132.723,23,1,4,1.02910216718267,1
1133.129,23,2,7,2.03467492260036,1
1133.348,23,2.6,9,2.57708978328152,1
1133.524,23,3,10,3.01300309597478,1
1133.933,24,0,1,0.0257826887657852,1
1134.161,24,0.6,3,0.585635359115886,1
1134.333,24,1,4,1.00798035604661,1
1134.748,24,2,7,2.02701043585014,1
1134.975,24,2.6,9,2.58440761203154,1
1135.149,24,3,10,3.01166359729854,1
1135.56,25,0,1,0.0208078335371178,1
1135.791,25,0.6,3,0.58629130966929,1
1135.968,25,1,4,1.01958384332935,1
1136.375,25,2,7,2.01591187270492,1
1136.601,25,2.6,9,2.5691554467566,1
1136.773,25,3,10,2.99020807833505,1
1137.192,26,0,1,0.0159754224269364,1
1137.424,26,0.6,3,0.586175115207184,1
1137.589,26,1,4,0.991705069124131,1
1138.008,26,2,7,2.021505376344,1
1138.245,26,2.6,9,2.60399385560629,1
1138.415,26,3,10,3.02181259600584,1
1138.817,27,0,1,0.00982197667257371,1
1139.045,27,0.6,3,0.569674647022675,1
1139.223,27,1,4,1.00675260896225,1
1139.643,27,2,7,2.03806015960706,1
1139.865,27,2.6,9,2.58317986494774,1
1140.045,27,3,10,3.02516881522417,1
1140.451,28,0,1,0.0222222222222597,1
1140.676,28,0.6,3,0.577777777777628,1
1140.855,28,1,4,1.01975308641985,1
1141.257,28,2,7,2.01234567901262,1
1141.477,28,2.6,9,2.55555555555593,1
1141.657,28,3,10,3,1
1142.059,29,0,1,-0.00745650372807453,1
1142.284,29,0.6,3,0.551781275891078,1
1142.475,29,1,4,1.02651201325589,1
1142.875,29,2,7,2.02071251035623,1
1143.092,29,2.6,9,2.56006628003329,1
1143.272,29,3,10,3.00745650372793,1
1143.679,30,0,1,0.0191586838816439,1
1143.891,30,0.6,3,0.548937942523909,1
1144.063,30,1,4,0.978758850479041,1
1144.476,30,2,7,2.01082882132467,1
1144.688,30,2.6,9,2.54060807996693,1
1144.869,30,3,10,2.99291961682616,1
1145.269,31,0,1,-0.0074626865669869,1
1145.487,31,0.6,3,0.53482587064707,1
1145.665,31,1,4,0.977611940298474,1
1146.077,31,2,7,2.002487562189,1
1146.296,31,2.6,9,2.54726368159205,1
1146.481,31,3,10,3.00746268656699,1
1146.887,32,0,1,0.0175916230362329,1
