Onset_time,Cycle_number,Metric_location,Metric_location_index,Phase,Is_included_in_grid
1568.852,1,NaN,NaN,NaN,0
1569.151,1,NaN,NaN,NaN,0
1569.341,1,NaN,NaN,NaN,0
1569.624,1,NaN,NaN,NaN,0
1569.796,1,NaN,NaN,NaN,0
1570.061,1,NaN,NaN,NaN,0
1570.244,1,NaN,NaN,NaN,0
1570.505,1,NaN,NaN,NaN,0
1570.679,2,0,1,0.0079342589969541,1
1570.955,2,0.6,3,0.633607254179444,1
1571.133,2,1,4,1.0371209974498,1
1571.385,2,1.6,6,1.60838764522534,1
1571.565,2,2,7,2.01643525077952,1
1571.829,2,2.6,9,2.61490507225853,1
1572.007,2,3,10,3.01841881552888,1
1572.265,2,3.6,12,3.60328705015642,1
1572.436,3,0,1,-0.00932400932378818,1
1572.703,3,0.6,3,0.613053613053913,1
1572.884,3,1,4,1.0349650349654,1
1573.131,3,1.6,6,1.6107226107231,1
1573.307,3,2,7,2.02097902097932,1
1573.568,3,2.6,9,2.62937062937081,1
1573.729,3,3,10,3.00466200466229,1
1573.985,3,3.6,12,3.60139860139852,1
1574.155,4,0,1,-0.00240240240234565,1
1574.407,4,0.6,3,0.603003003002959,1
1574.587,4,1,4,1.03543543543555,1
1574.84,4,1.6,6,1.6432432432432,1
1575,4,2,7,2.02762762762779,1
1575.249,4,2.6,9,2.62582582582606,1
1575.417,4,3,10,3.02942942942942,1
1575.667,4,3.6,12,3.63003003003003,1
1575.821,5,0,1,0,1
1576.079,5,0.6,3,0.612644701691962,1
1576.257,5,1,4,1.03532205402228,1
1576.512,5,1.6,6,1.6408429801128,1
1576.665,5,2,7,2.00415553576733,1
1576.923,5,2.6,9,2.61680023745929,1
1577.087,5,3,10,3.00623330365099,1
1577.343,5,3.6,12,3.61412882160902,1
1577.507,6,0,1,0.00359604435140119,1
1577.76,6,0.6,3,0.610128858255938,1
1577.935,6,1,4,1.02966736589742,1
1578.179,6,1.6,6,1.61462391369519,1
1578.343,6,2,7,2.00779142942785,1
1578.595,6,2.6,9,2.61192688043164,1
