Onset
0.858020833
1.221604167
1.735604167
2.301583333
2.708062500
3.207333333
3.761333333
4.114770833
4.626229167
5.067375000
5.409125000
5.803791667
6.189979167
6.511437500
6.977000000
7.464541667
7.766229167
8.196083333
8.608312500
8.894041667
9.337958333
9.723916667
10.032958333
10.387770833
10.749187500
11.063937500
11.504000000
11.848750000
12.132416667
12.549541667
12.890000000
13.167833333
13.600000000
13.950000000
14.240000000
14.610000000
15.020000000
15.280000000
15.690000000
16.040000000
16.300000000
16.680000000
17.020000000
17.300000000
17.670000000
18.040000000
18.300000000
18.720000000
19.080000000
19.370000000
19.780000000
20.110000000
20.390000000
20.780000000
21.110000000
21.410000000
21.800000000
22.150000000
22.410000000
22.800000000
23.100000000
23.360000000
23.750000000
24.060000000
24.330000000
24.700000000
25.010000000
25.290000000
25.660000000
25.960000000
26.280000000
26.610000000
26.920000000
27.210000000
27.560000000
27.890000000
28.170000000
28.490000000
28.820000000
29.120000000
29.460000000
29.780000000
30.090000000
30.400000000
30.700000000
31.030000000
31.370000000
31.670000000
31.980000000
32.320000000
32.630000000
32.970000000
33.320000000
33.640000000
34.029812500
34.422208333
34.806895833
35.110000000
35.480000000
35.810000000
36.100000000
36.450000000
36.800000000
37.060000000
37.430000000
37.780000000
38.030000000
38.400000000
38.750000000
39.060000000
39.410000000
39.730000000
40.050000000
40.370000000
40.660000000
40.940000000
41.310000000
41.610000000
41.890000000
42.240000000
42.560000000
42.820000000
43.190000000
43.500000000
43.770000000
44.140000000
44.440000000
44.710000000
45.090000000
45.400000000
45.690000000
46.050000000
46.350000000
46.610000000
47.000000000
47.300000000
47.580000000
47.950000000
48.230000000
48.510000000
48.880000000
49.200000000
49.460000000
49.780000000
50.130000000
50.420000000
50.760000000
51.080000000
51.340000000
51.710000000
52.010000000
52.270000000
52.640000000
52.920000000
53.190000000
53.570000000
53.850000000
54.130000000
54.450000000
54.770000000
55.030000000
55.380000000
55.660000000
55.940000000
56.290000000
56.560000000
56.840000000
57.190000000
57.490000000
57.740000000
58.100000000
58.380000000
58.650000000
59.000000000
59.300000000
59.560000000
59.910000000
60.280000000
60.570000000
60.860000000
61.120000000
61.430000000
61.740000000
62.060000000
62.370000000
62.710000000
63.040000000
